title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Intervention,2005,TV-14,43,['US'],23.0,,,8.52,['documentation'],7.39
The L Word,2004,TV-MA,53,"['CA', 'US']",6.0,7.6,26196.0,29.253,"['drama', 'romance']",7.765
Undercover Boss,2010,TV-PG,44,['US'],11.0,5.8,3451.0,10.092,"['documentation', 'reality']",5.965
Storage Wars,2010,TV-PG,21,['US'],14.0,5.0,30.0,20.955,['reality'],5.565
Flashpoint,2008,TV-14,42,['CA'],5.0,7.7,17345.0,21.517,"['action', 'drama']",7.725
Whitechapel,2009,TV-MA,45,['GB'],4.0,7.9,12925.0,9.154,"['drama', 'thriller']",7.825
Wipeout,2008,TV-14,45,['US'],7.0,6.6,7769.0,12.168,"['comedy', 'reality']",6.68
Mushi-Shi,2005,TV-14,24,['JP'],3.0,8.5,13196.0,27.339,"['action', 'scifi']",8.44
Horrible Histories,2009,TV-G,28,['GB'],9.0,8.8,4965.0,7.073,"['comedy', 'family']",8.725000000000001
Reba,2001,TV-PG,22,['US'],6.0,6.6,15089.0,11.784,"['comedy', 'drama']",6.859999999999999
Soul Eater,2008,TV-14,24,['JP'],1.0,7.8,12378.0,59.313,"['action', 'scifi']",7.955
Supernanny,2005,TV-Y7,43,['US'],8.0,5.2,1782.0,7.266,['reality'],6.385
Gintama,2006,TV-14,24,['JP'],12.0,8.7,10445.0,68.218,"['action', 'comedy']",8.405000000000001
Bad Girls Club,2006,TV-14,40,['US'],17.0,4.7,2727.0,21.39,"['drama', 'reality']",5.595000000000001
Ugly Betty,2006,TV-PG,52,['US'],4.0,6.6,43413.0,29.454,"['comedy', 'romance']",6.545
The Real Housewives of Orange County,2006,TV-14,44,['US'],16.0,4.2,3662.0,15.886,['reality'],5.21
Primeval,2007,TV-14,46,['GB'],6.0,7.2,14348.0,49.054,"['action', 'scifi']",7.430000000000001
High School of the Dead,2010,TV-MA,23,['JP'],1.0,7.2,12638.0,39.407,"['action', 'scifi']",7.880000000000001
Terriers,2010,TV-MA,44,['US'],1.0,8.4,10733.0,7.967,"['crime', 'thriller']",8.39
McLeod's Daughters,2001,,44,['AU'],8.0,7.2,5929.0,9.652,"['drama', 'romance']",7.655000000000001
Brothers and Sisters,2006,TV-14,49,['US'],5.0,7.4,23574.0,25.165,"['drama', 'european']",7.395
American Ninja Warrior,2009,TV-PG,71,['US'],14.0,8.0,120.0,13.164,"['reality', 'sport']",7.65
Penn & Teller: Bullshit!,2003,TV-MA,28,['US'],8.0,8.2,11725.0,9.837,"['comedy', 'documentation']",8.155000000000001
Clannad,2007,TV-PG,25,['JP'],2.0,7.8,9154.0,43.828,"['comedy', 'drama']",8.18
Being Erica,2009,TV-PG,45,['CA'],4.0,7.5,9548.0,5.457,"['drama', 'scifi']",7.22
